"S","T","F","TM","CO","C",""
"1.1111286628615E-8","32466046.900947","1917201887.3007","184.28312220647","34.809644884514","144.57592884308",""
"3.7355547880437E-9","20000000","1996651472.4638","72.855912812595","46.981400878254","110.17842845362",""
"6.3074997295852E-9","40000000","1651731851.9364","218.38684863496","56.871126259481","107.82016000792",""
"5.5297323282313E-9","31807393.92595","1903301205.2001","113.51240327441","37.295889056859","103.37557405758",""
"7.6136605736705E-9","30862472.949227","2500000000","125.00372815767","65.635036196266","111.0361416177",""
"5.1542890128236E-9","20000000","1370977251.1645","175.45557923643","44.410596377022","116.66249483931",""
"5.143877153504E-9","33242313.277762","1625332283.2781","120.65456981741","73.530922682773","136.90496429734",""
"5.3097098218524E-9","24014079.653001","2195397843.6383","139.74378362577","63.870229618634","123.51383289448",""
"8.6709001318606E-9","20000000","1781398626.8552","194.10352840812","56.191597005751","143.63583187465",""
"9.0369187971871E-9","25284859.575286","1717026181.9735","175.65431005603","35.182677137963","149.25790469694",""
"5.2399951436604E-9","34990993.379977","2500000000","127.49916463762","57.719541840228","118.87698018424",""
"1.2820583051048E-8","40000000","1556748546.5167","118.19449162917","58.249177920828","130.64365402587",""
"9.1670646879588E-9","37782502.18089","1923494254.264","178.58254510681","62.57591570053","139.21592268985",""
"9.2602981339246E-9","30598267.470572","1758021504.4072","144.53375015715","61.005580428721","110.20000813604",""
"1.1375111602978E-8","27241198.065623","1469786640.602","187.70166990974","47.524917469559","146.9463540429",""
"1.0159514402439E-8","23325706.334414","1862592528.6169","206.53441614852","59.555662086573","140.15692604915",""
"9.8005631211751E-9","30613172.818525","2146280302.1828","166.3936057716","47.641522721549","127.55402510815",""
"6.0167858419563E-9","40000000","1954960364.3965","145.92925902435","44.415933668073","106.24418129472",""
"1.7795128434033E-8","32473741.345294","1889138417.7655","88.157484899144","44.785496308371","139.5637388489",""
"2.0E-8","30269347.178411","2131700850.9071","99.183912408881","59.273617313998","103.44802950778",""
"5.5787086664834E-9","33088273.114229","1787591068.3729","217.44505656105","61.378315948247","137.20967808715",""
"5.7857028472977E-9","20000000","1615011868.0842","100.18865435261","56.333649749305","132.63278851053",""
"1.6063661759515E-8","30275418.205248","2500000000","126.05085546161","45.278471581412","107.57303209408",""
"1.4857768627983E-8","25889471.496331","1858630547.7764","190.68065117378","61.354552154287","148.63336037585",""
"1.0861887574445E-8","39270570.427618","1289498307.0171","140.31437388506","38.52174428376","101.06819606796",""
"7.0328992340286E-9","25816381.735473","1504323558.053","185.10901133267","38.416567846805","125.51632447505",""
"1.276559778148E-8","25179575.012615","2126759350.0957","191.64821327103","49.497806559367","106.03057570091",""
"9.5968338957769E-9","32088400.585904","2500000000","83.53972557775","60.463324789475","141.87415417315",""
"6.3843732408891E-9","27838746.094017","1264397352.9049","141.03344442062","33.288931531899","132.67852414355",""
"5.2387886168545E-9","40000000","1508513935.1987","99.215273127973","45.499446479261","136.61755348385",""
"1.7259993549883E-8","27114538.299785","1771154996.7655","96.450755065068","33.228852089553","133.5747214996",""
"1.9031706763065E-8","21329810.644852","1000000000","241.33121723642","75.594308863916","108.06393740607",""
"1.6427566021434E-8","20000000","1760703864.1132","85.99160221984","43.326131324407","121.0431814583",""
"1.7517837649038E-8","28178881.448036","2212509172.6224","218.46584133939","52.471862924049","115.29284642464",""
"1.2198715988935E-8","20000000","2500000000","93.802974550965","29.942566841533","102.20304366511",""
"9.7654749035191E-9","35299221.961954","1922675124.3549","220.01354726709","45.518747289611","146.98137300987",""
"1.3957063805349E-8","28377038.218247","2283490837.4828","197.84746050718","63.181423922974","107.32409544594",""
"1.3474152969616E-8","27224423.480728","2185105941.1167","71.02514699774","35.245498212827","139.39030791699",""
"6.5948853821188E-9","37146080.18932","2268893143.4536","170.28099467516","43.664960542186","100.98865711354",""
"1.6767309999751E-8","31961755.841626","1093968532.9635","134.98502953829","36.331688007967","133.96275399744",""
"1.2986543825715E-8","32440835.242752","2261281044.5754","50.019574628219","50.164385314284","122.91986232096",""
"7.6858594583011E-9","30804029.190998","2080711094.0957","141.47928067","45.466426935811","129.51641773692",""
"8.4767563570745E-9","25133829.541241","1982610827.8747","37.624640282116","60.180057889413","123.88174471172",""
"4.6407924750021E-9","40000000","2500000000","195.51737317128","50.534710190283","124.22247139651",""
"1.2692498461613E-8","40000000","2003468068.5019","173.29828185874","58.856669163894","144.7659292469",""
"1.1402529016468E-8","29094535.818324","2389051863.6129","73.258933476551","35.724565059272","137.2215523958",""
"3.1708292686405E-9","22967887.931878","1926744038.1431","190.52320554735","46.664756871788","106.82104348247",""
"1.0638341348162E-8","20000000","2500000000","25.356137811529","45.832765996622","144.43541902151",""
"1.2978707167372E-8","34912754.294387","1980547853.0892","127.8949335751","64.064279199181","100.68510352245",""
"1.7178827444064E-8","40000000","1969251812.3653","147.83982921853","44.550645042763","110.24574546016",""
"1.5263433411069E-8","28495668.211377","1722218383.6434","180.98102312692","47.263658125298","124.19224904993",""
"1.006577184552E-8","33586529.47092","1558769778.0062","127.74127381178","53.534452167507","142.57327793661",""
"2.0E-8","37338190.568975","1880265099.3042","218.65362478235","32.949970759398","143.64747121526",""
"1.1096890016345E-8","22967267.350787","2378359771.3301","121.44943800122","59.436845657415","113.42127059519",""
"1.0363570822602E-8","35444066.090253","1804024045.8547","151.05290120532","44.786644256756","136.78949281559",""
"1.5089031242946E-8","38186861.117066","2162180127.0541","127.46758468229","65.445204054438","123.99251870947",""
"1.242361969721E-8","24381043.652169","1845764014.9309","200.08749878312","48.69586721788","110.68731422566",""
"4.327183055245E-9","27854196.614","2393354662.5941","197.752697954","46.602339404241","121.04293614535",""
"1.1768881057419E-8","20000000","2500000000","139.6824274593","55.014118647342","114.15452913308",""
"9.2150764053009E-9","30034973.032759","1000000000","108.3299544948","38.311799547517","127.61665444936",""
"1.2889758599413E-8","28045750.243305","2500000000","121.33788087217","54.651275257747","148.45642841369",""
"8.3932038125187E-9","34381328.25014","1919894437.6086","141.128977643","50.649226764694","142.02727198513",""
"1.0E-9","32888562.14729","2500000000","224.17715462731","24.852543971386","133.48289445652",""
"1.2199066856647E-8","20000000","1144246421.9566","164.20783647931","42.36563497556","134.67984735425",""
"1.6227875035484E-8","26997210.599353","2302587503.0969","214.98960184113","39.270085773267","113.50980292595",""
"1.2158430226073E-8","32449456.334531","2500000000","191.53065227868","50.036910835307","136.88322409054",""
"1.0385098903917E-8","31614965.779529","1814917942.4469","129.44548121427","56.686243084761","118.5795089248",""
"8.2410596717233E-9","21755889.226386","1702360599.4833","167.25585211719","37.4821047569","134.09229977352",""
"8.8390920369995E-9","40000000","1514085474.9003","170.19677345616","58.437617666767","104.06917059868",""
